Section,sats,time,lat,long,velocity,afr,heading,height,FixType,accelX,accelY,accelZ,accelSqrt,gyroX,gyroY,gyroZ,magX,magY,magZ,mDirection,Time_ms
Practice,016,041700.00,797.815764,-6054.254748,0.097,8.86818244869051,58.299,5.923,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.05,797.815764,-6054.254748,0.097,9.375725742229857,58.299,5.923,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.10,797.815758,-6054.254754,0.022,8.251805301464078,58.299,5.927,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.15,797.815758,-6054.254754,0.094,8.968711582323104,58.299,5.943,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.20,797.815758,-6054.254754,0.065,8.825190925109212,58.299,5.939,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.25,797.815758,-6054.254754,0.079,9.375407880801497,58.299,5.939,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.30,797.815758,-6054.254754,0.162,9.241955915783912,58.299,5.94,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.35,797.815758,-6054.254754,0.122,8.945018842986363,58.299,5.941,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.40,797.815758,-6054.25476,0.169,8.900411175854826,58.299,5.941,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.45,797.815758,-6054.25476,0.13,9.209627393129567,58.299,5.956,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.50,797.815752,-6054.25476,0.119,8.817598500232895,58.299,5.957,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.55,797.815758,-6054.25476,0.126,9.274729438254747,58.299,5.957,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.60,797.815758,-6054.25476,0.176,8.822491334361578,58.299,5.944,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.65,797.815752,-6054.254766,0.054,9.206166109261154,58.299,5.947,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.70,797.815758,-6054.254766,0.047,9.189347353500574,58.299,5.969,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.75,797.815758,-6054.254766,0.119,9.454128896940693,58.299,5.967,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.80,797.815758,-6054.254772,0.119,8.70918477208254,58.299,5.959,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.85,797.815752,-6054.254772,0.277,9.379789314188052,58.299,5.975,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.90,797.815752,-6054.254778,0.202,8.803481840193776,58.299,5.967,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041700.95,797.815752,-6054.254778,0.13,8.923998253642129,58.299,5.946,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.00,797.815752,-6054.254778,0.126,9.294444396461898,58.299,5.947,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.05,797.815752,-6054.254778,0.212,8.880054837791171,58.299,5.963,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.10,797.815752,-6054.254778,0.058,9.072909171630984,58.299,5.958,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.15,797.815752,-6054.254778,0.032,9.262576304241984,58.299,5.963,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.20,797.815752,-6054.254778,0.27,9.183244204665751,58.299,5.954,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.25,797.815752,-6054.254778,0.32,9.198537494840204,58.299,5.959,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.30,797.815752,-6054.254784,0.115,8.571776801764624,58.299,5.972,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.35,797.815752,-6054.25479,0.306,8.754631266778134,58.299,5.966,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.40,797.815752,-6054.25479,0.187,9.230202699440209,58.299,5.958,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.45,797.815746,-6054.254784,0.227,8.977197891994987,58.299,5.94,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.50,797.815746,-6054.254778,0.378,8.512305551098894,58.299,5.963,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.55,797.815746,-6054.254778,0.238,9.157932732548108,58.299,5.963,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.60,797.815746,-6054.254784,0.13,9.3364760919882,58.299,5.962,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.65,797.815746,-6054.254784,0.029,8.820348373404977,58.299,5.964,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.70,797.81574,-6054.25479,0.212,9.176233105337966,58.299,5.947,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.75,797.81574,-6054.254784,0.198,8.454420976364823,58.299,5.946,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.80,797.81574,-6054.254784,0.166,8.86956907731035,58.299,5.946,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.85,797.815746,-6054.254784,0.245,9.173703504831195,58.299,5.956,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.90,797.815746,-6054.254784,0.104,8.92489477663121,58.299,5.96,3,0,0,0,0,0,0,0,0,0,0,0,0
Practice,016,041701.95,797.815746,-6054.25479,0.151,9.094528290547787,58.299,5.952,3,0,0,0,0,0,0,0,0,0,0,0,0
