Section,sats,time,lat,long,velocity,afr,heading,height,FixType,accelX,accelY,accelZ,accelSqrt,gyroX,gyroY,gyroZ,magX,magY,magZ,mDirection,Time_ms
Race 1,016,041700.00,797.8157776999176,-6054.25474739389,0.1199568319938604,9.032283157881325,58.667259131315745,6.013882074095491,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.05,797.8157680014434,-6054.2547571362065,0.1162535231212473,8.954413696365433,61.02007340740958,5.771932830378847,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.10,797.8157661766247,-6054.2547547037475,0.024476574497450568,8.676824102979479,59.70622861173299,5.510174537400217,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.15,797.8157569740916,-6054.254745165624,0.10605854193536904,8.596094329946496,57.14965593065936,5.71482284660949,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.20,797.8157657062213,-6054.254742497446,0.07717113567833331,8.862647391358259,58.15965831160002,6.87939985525146,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.25,797.8157569639922,-6054.254759227345,0.09967687936312582,8.667346476933092,59.70694753535312,4.974491397977571,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.30,797.8157532588914,-6054.254751510916,0.18512112451505525,9.408141914840112,55.94927817464486,6.100672090870872,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.35,797.8157653547481,-6054.254751406773,0.15842769401244097,9.10032550384912,56.85206328327729,5.716672997440282,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.40,797.8157622697732,-6054.254749964918,0.1926573662691966,8.62025639019248,57.53119632260939,5.753708505249098,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.45,797.8157736655489,-6054.254760266839,0.15910879156059454,8.874712899885138,55.72822885796797,5.35518334816166,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.50,797.8157500747081,-6054.25476475767,0.1322900385478585,9.054460687310044,57.84181249555787,6.247832513375162,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.55,797.8157586780352,-6054.254757385659,0.14424188071379546,8.855887985730737,56.16647677987962,5.609336834555613,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.60,797.8157514225921,-6054.25475570213,0.23193294035981293,9.019742691824074,55.064812483415935,5.907978851777453,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.65,797.8157573214949,-6054.254781206828,0.07022171295502715,8.550631580365817,57.16258035795354,6.2792042656044975,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.70,797.8157606157208,-6054.254771039562,0.05406896835907567,8.861113083361333,60.4318948092062,5.9977037487629055,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.75,797.8157605577496,-6054.2547684026695,0.14395761235470322,8.717671708859646,59.81379656445607,5.4900307669383395,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.80,797.8157613360722,-6054.254777153076,0.14990332960360397,9.001888030752921,58.9796738683309,5.806141814439522,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.85,797.8157629391977,-6054.254784165615,0.3402362435530394,9.44753358768663,59.56360346867222,6.215321192825322,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.90,797.81575482708,-6054.254790415449,0.25303822610964233,9.02387132791704,57.97246418914951,6.280632870527968,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041700.95,797.815746535503,-6054.254778753158,0.13948165116298342,9.268220052240869,52.77740001352538,5.898089789046963,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.00,797.8157519888072,-6054.254795491531,0.15017929857031143,9.3326622656552,56.664180692081295,5.921545452730039,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.05,797.8157522720948,-6054.254771527681,0.2599524049887672,8.839846381771752,57.08513128853632,5.940372379454457,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.10,797.8157537064617,-6054.254782631308,0.06061735359106504,9.616977297679137,59.15397481593564,5.842551555035949,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.15,797.8157601784319,-6054.254774480576,0.04195762908286484,8.722151802288497,58.317623092134774,5.457409296161475,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.20,797.8157490250101,-6054.254767002568,0.3024469436654505,9.128066998316456,62.17659553807764,5.564179446721216,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.25,797.815752013376,-6054.254781197226,0.3653502804590221,8.70254547348538,56.548937865506396,5.600035218071032,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.30,797.8157421370821,-6054.254792203449,0.1453807928230459,8.611904583442701,57.415483252118754,6.542194090107667,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.35,797.8157448493755,-6054.254799606685,0.3710756827322022,9.510890726128963,54.70817703290258,6.125719509334949,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.40,797.8157427128685,-6054.25480774371,0.23164993016384272,8.877278480364527,62.46103563984017,6.585493201503195,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.45,797.8157363540662,-6054.254787055864,0.2675927881658898,8.834038073491161,61.0260029214788,5.7392519471248145,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.50,797.8157384272674,-6054.25478270051,0.4166670033454154,8.909362115922251,59.12579843348946,5.83005264570499,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.55,797.8157404386537,-6054.254774058848,0.26678415770271086,8.403565268495484,60.88916222615964,5.544683911730942,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.60,797.8157489335694,-6054.2547820236005,0.15433195620416268,9.095115784714741,58.36587633974771,5.77892683910508,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.65,797.8157488263942,-6054.25478167881,0.03524533865074989,9.224671896720476,60.05258298780031,5.7865998972270685,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.70,797.8157284191798,-6054.254800304901,0.2425264423494437,9.199764601371717,57.73925676130688,5.560276566638494,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.75,797.815739717894,-6054.254778854166,0.25514512426882835,9.327369888228548,58.613455966743146,5.8767323916683765,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.80,797.815750708911,-6054.254786473738,0.16661452346478325,8.777991445627784,56.651596519806375,6.303257762689939,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 1,016,041701.85,797.815745994404,-6054.2547722089885,0.3195944622857612,9.14400662383162,59.233827950481675,6.1712535920187435,3,0,0,0,0,0,0,0,0,0,0,0,0
