Section,sats,time,lat,long,velocity,afr,heading,height,FixType,accelX,accelY,accelZ,accelSqrt,gyroX,gyroY,gyroZ,magX,magY,magZ,mDirection,Time_ms
Race 2,016,041700.00,797.81576093265,-6054.2547540616115,0.11153428543465392,9.15267557815069,59.015358416580405,6.069225610136701,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 2,016,041700.05,797.815766040408,-6054.2547474891435,0.11021347021011851,8.832179404310176,57.343559773524014,6.09999681131252,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 2,016,041700.10,797.81575807532,-6054.254756781557,0.024237971930277376,8.927745612747538,56.28441537873083,6.161755982711613,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 2,016,041700.15,797.8157680058904,-6054.254753860412,0.09527040638662246,9.061193039500955,59.64534079839364,5.943818164757171,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 2,016,041700.20,797.8157616662166,-6054.254754664051,0.06955193372194371,9.088422484237347,59.40880188337471,5.76800058031406,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 2,016,041700.25,797.8157520362834,-6054.25475879271,0.08658117040616098,8.65901190408893,58.39880610682446,6.192809283264558,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 2,016,041700.30,797.8157567495572,-6054.254757111577,0.16885314193176654,9.125062255521765,58.187661209812596,6.152075142298547,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 2,016,041700.35,797.8157607796421,-6054.254755943278,0.1297528794411605,8.391499586637309,57.67504283333581,5.871300153028154,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 2,016,041700.40,797.8157618738269,-6054.254762849774,0.19083344562174145,8.76001330677713,59.0572897956452,6.155354355831377,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 2,016,041700.45,797.8157607215462,-6054.254751123165,0.1465844355984306,8.793065163144227,58.57206182287119,5.8180411848656455,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 2,016,041700.50,797.8157481598715,-6054.25475781963,0.12861910616672223,9.276065951241174,57.59375475770254,6.21279568838303,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 2,016,041700.55,797.8157590131545,-6054.254760278885,0.13421976588136578,8.891709929680589,59.43194083450211,5.870888497231844,3,0,0,0,0,0,0,0,0,0,0,0,0
Race 2,016,041700.60,797.8157514452918,-6054.254758584435,0.19659132470859686,9.093307278052812,57.70986952731244,5.572287429330567,3,0,0,0,0,0,0,0,0,0,0,0,0
